Date,Value
2019/8/12,1291059873
2019/8/13,1666494660
2019/8/14,1317218978
2019/8/15,1574111186
2019/8/16,1077642459
2019/8/17,1526187033
2019/8/18,923238653.2
2019/8/19,1023246905
2019/8/20,1220470930
2019/8/21,1083045372
2019/8/22,951158027.8
2019/8/23,2130991480
2019/8/24,592417288.5
2019/8/25,576624098.1
2019/8/26,1311051901
2019/8/27,1295831267
2019/8/28,1050824062
2019/8/29,1674298205
2019/8/30,1323718820
2019/8/31,536730722.7
2019/9/1,527581681.5
2019/9/2,1189099300
2019/9/3,1484070470
2019/9/4,1356552610
2019/9/5,1706403126
2019/9/6,2785938242
2019/9/7,920958388.1
2019/9/8,734442315.9
2019/9/9,1233969517
2019/9/10,1964047353
2019/9/11,1425043055
2019/9/12,1811962087
2019/9/13,926451075.4
2019/9/14,550438176.5
2019/9/15,465077107.5
2019/9/16,1523428332
2019/9/17,1412330121
2019/9/18,1899700648
2019/9/19,1263814528
2019/9/20,1752366741
2019/9/21,1297619718
2019/9/22,552377407.5
2019/9/23,855073770.2
2019/9/24,3139283339
2019/9/25,2087385265
2019/9/26,1313285337
2019/9/27,1158429641
2019/9/28,580178846.8
2019/9/29,461412848.7
2019/9/30,1032865548
2019/10/1,1076885942
2019/10/2,753518693.1
2019/10/3,941153423.8
2019/10/4,734036335
2019/10/5,375403716
2019/10/6,437929223.3
2019/10/7,858436648.3
2019/10/8,951086445.4
2019/10/9,1063632109
2019/10/10,1061857762
2019/10/11,940680504.5
2019/10/12,434035291.2
2019/10/13,358793113.4
2019/10/14,1712938625
2019/10/15,933447813.6
2019/10/16,944835135.1
2019/10/17,1260759811
2019/10/18,1046146449
2019/10/19,393045996.9
2019/10/20,335445114.1
2019/10/21,949795298.9
2019/10/22,996706690.9
2019/10/23,1296382266
2019/10/24,984320293.1
2019/10/25,1334170238
2019/10/26,1256366631
2019/10/27,721778043.4
2019/10/28,1882149479
2019/10/29,1157811408
2019/10/30,933497841.3
2019/10/31,1573437647
2019/11/1,2074156434
2019/11/2,736867493.4
2019/11/3,791930340.1
2019/11/4,1333487929
2019/11/5,2769186824
2019/11/6,1446365892
2019/11/7,1410260957
2019/11/8,1458241138
2019/11/9,1046596790
2019/11/10,364320564.2
2019/11/11,718863061.2
2019/11/12,865205529.8
2019/11/13,1486062566
2019/11/14,946450282.5
2019/11/15,1199132985
2019/11/16,461834641.9
2019/11/17,342818350.3
2019/11/18,1043917564
2019/11/19,923399726.1
2019/11/20,870969121.5
2019/11/21,1165992114
2019/11/22,1691710108
2019/11/23,1151153476
2019/11/24,544401075.4
2019/11/25,1313006695
2019/11/26,1179814702
2019/11/27,1513433741
2019/11/28,769525352.6
2019/11/29,1078007992
2019/11/30,696535295.2
2019/12/1,410180206.4
2019/12/2,904057314.8
2019/12/3,1101171350
2019/12/4,1466498116
2019/12/5,829793365.2
2019/12/6,1235038810
2019/12/7,842686832.9
2019/12/8,307899861.8
2019/12/9,984541456.8
2019/12/10,1203358980
2019/12/11,960237277.3
2019/12/12,1259580435
2019/12/13,910737706
2019/12/14,455496984
2019/12/15,331461605.8
2019/12/16,880428472.3
2019/12/17,1699726139
2019/12/18,1653840923
2019/12/19,1185600662
2019/12/20,1192218774
2019/12/21,484021776.7
2019/12/22,409093776.8
2019/12/23,1144871678
2019/12/24,770512475.8
2019/12/25,863528900.8
2019/12/26,783721256.3
2019/12/27,847107991.8
2019/12/28,480834303.8
2019/12/29,381265550.9
2019/12/30,956242180.5
