Date,Value
2019/8/20,17885925
2019/8/21,17889137.5
2019/8/22,17891262.5
2019/8/23,17891450
2019/8/24,17894950
2019/8/25,17896987.5
2019/8/26,17898437.5
2019/8/27,17900162.5
2019/8/28,17902275
2019/8/29,17902500
2019/8/30,17906237.5
2019/8/31,17908037.5
2019/9/1,17910300
2019/9/2,17912125
2019/9/3,17913587.5
2019/9/4,17915562.5
2019/9/5,17917712.5
2019/9/6,17919100
2019/9/7,17921750
2019/9/8,17924062.5
2019/9/9,17924625
2019/9/10,17928087.5
2019/9/11,17930150
2019/9/12,17932225
2019/9/13,17934200
2019/9/14,17935650
2019/9/15,17938025
2019/9/16,17939862.5
2019/9/17,17941187.5
2019/9/18,17943737.5
2019/9/19,17945937.5
2019/9/20,17946712.5
2019/9/21,17949650
2019/9/22,17951737.5
2019/9/23,17952225
2019/9/24,17955250
2019/9/25,17957212.5
2019/9/26,17957787.5
2019/9/27,17960850
2019/9/28,17962925
2019/9/29,17963312.5
2019/9/30,17966175
2019/10/1,17968237.5
2019/10/2,17968850
2019/10/3,17971875
2019/10/4,17973712.5
2019/10/5,17974362.5
2019/10/6,17977550
2019/10/7,17979387.5
2019/10/8,17979900
2019/10/9,17982912.5
2019/10/10,17985087.5
2019/10/11,17985425
2019/10/12,17988612.5
2019/10/13,17990725
2019/10/14,17990962.5
2019/10/15,17994187.5
2019/10/16,17996087.5
2019/10/17,17996500
2019/10/18,17999762.5
2019/10/19,18001762.5
2019/10/20,18002062.5
2019/10/21,18005362.5
2019/10/22,18007587.5
2019/10/23,18009475
2019/10/24,18011112.5
2019/10/25,18013112.5
2019/10/26,18014500
2019/10/27,18016250
2019/10/28,18017687.5
2019/10/29,18018612.5
2019/10/30,18021037.5
2019/10/31,18022700
2019/11/1,18024137.5
2019/11/2,18025975
2019/11/3,18027662.5
2019/11/4,18029675
2019/11/5,18031475
2019/11/6,18032825
2019/11/7,18034475
2019/11/8,18035187.5
2019/11/9,18038200
2019/11/10,18040012.5
2019/11/11,18040700
2019/11/12,18043525
2019/11/13,18045212.5
