DATE,OPEN,HIGH,LOW,CLOSE,,,Time
01/02/2019,27.67,27.72,23.05,23.22,,,01/02/2019
01/03/2019,24.67,26.57,24.05,25.45,,,01/03/2019
01/04/2019,23.72,24.08,21.19,21.38,,,01/04/2019
01/07/2019,22.11,22.27,20.91,21.4,,,01/07/2019
01/08/2019,20.66,22.03,20.09,20.47,,,01/08/2019
01/09/2019,20.13,22.8,19.48,19.98,,,01/09/2019
01/10/2019,20.8,21.32,19.29,19.5,,,01/10/2019
01/11/2019,20.02,20.16,18.12,18.19,,,01/11/2019
01/14/2019,19.96,19.99,18.7,19.07,,,01/14/2019
01/15/2019,19.03,19.05,17.98,18.6,,,01/15/2019
01/16/2019,18.84,19.04,18.19,19.04,,,01/16/2019
01/17/2019,19.29,19.36,17.85,18.06,,,01/17/2019
01/18/2019,17.4,18.18,17.17,17.8,,,01/18/2019
01/22/2019,18.65,21.15,18.43,20.8,,,01/21/2019
01/23/2019,19.94,22.02,19.47,19.52,,,01/22/2019
01/24/2019,19.98,20.25,18.63,18.89,,,01/23/2019
01/25/2019,18,18.16,17.31,17.42,,,01/24/2019
01/28/2019,19.38,20.42,18.87,18.87,,,01/25/2019
01/29/2019,18.81,19.93,18.71,19.13,,,01/28/2019
01/30/2019,18.9,19.31,17.54,17.66,,,01/29/2019
01/31/2019,17.54,17.72,16.54,16.57,,,01/30/2019
02/01/2019,16.37,16.73,16.08,16.14,,,01/31/2019
02/04/2019,16.64,16.69,15.6,15.73,,,02/01/2019
02/05/2019,15.77,15.94,15.04,15.57,,,02/04/2019
02/06/2019,15.44,15.87,15.09,15.38,,,02/05/2019
02/07/2019,15.66,17.89,15.51,16.37,,,02/06/2019
02/08/2019,16.81,17.63,15.62,15.72,,,02/07/2019
02/11/2019,16.17,16.5,15.34,15.97,,,02/08/2019
02/12/2019,15.23,15.65,14.95,15.43,,,02/11/2019
02/13/2019,15.46,15.91,15,15.65,,,02/12/2019
02/14/2019,15.61,17.27,15.3,16.22,,,02/13/2019
02/15/2019,16.82,16.82,14.79,14.91,,,02/14/2019
02/19/2019,15.65,16.16,14.64,14.88,,,02/15/2019
02/20/2019,14.92,15.19,13.99,14.02,,,02/18/2019
02/21/2019,14,15.17,13.85,14.46,,,02/19/2019
02/22/2019,14.46,14.47,13.51,13.51,,,02/20/2019
02/25/2019,13.91,14.9,13.44,14.85,,,02/21/2019
