Date,Value
2019/8/4,23105969.7
2019/8/5,22256372.32
2019/8/6,24239820.66
2019/8/7,23489547.28
2019/8/8,22052437.23
2019/8/9,22823177.01
2019/8/10,22285954.37
2019/8/11,22402406.23
2019/8/12,19835024.18
2019/8/13,23339417.34
2019/8/14,20751478.03
2019/8/15,20403806.3
2019/8/16,20175209.24
2019/8/17,16818757.38
2019/8/18,16497323.4
2019/8/19,22512416.21
2019/8/20,21381940.82
2019/8/21,18133519.93
2019/8/22,18244786.74
2019/8/23,20303216.62
2019/8/24,20913191.15
2019/8/25,20023054.22
2019/8/26,18051599.15
2019/8/27,17790117.82
2019/8/28,19285143.44
2019/8/29,20199158.85
2019/8/30,19625872.03
2019/8/31,20380765.55
2019/9/1,17386554.18
2019/9/2,19567794.84
2019/9/3,22232234.97
2019/9/4,18375693.84
2019/9/5,22456931.63
2019/9/6,21464687.59
2019/9/7,20094042.86
2019/9/8,23644815.68
2019/9/9,19160369.49
2019/9/10,23662199.32
2019/9/11,23997270.5
2019/9/12,20481339.86
2019/9/13,19643241.85
2019/9/14,20523303.28
2019/9/15,19411747.05
2019/9/16,21460937.09
2019/9/17,19262723.37
2019/9/18,22533478.53
2019/9/19,19373703.71
2019/9/20,19539823.59
2019/9/21,21079948.12
2019/9/22,21169975.57
2019/9/23,14647183.8
2019/9/24,19220354.79
2019/9/25,17222704.4
2019/9/26,18142040.44
2019/9/27,13731933.73
2019/9/28,16399123.57
2019/9/29,14292283.47
2019/9/30,13436667.52
2019/10/1,15347785.33
2019/10/2,15983802.95
2019/10/3,15446657.01
2019/10/4,15198779.2
2019/10/5,16377861.17
2019/10/6,15379216.33
2019/10/7,15743886.01
2019/10/8,17060959.45
2019/10/9,14626389.97
2019/10/10,17831123.68
2019/10/11,17060812.1
2019/10/12,14021139.92
2019/10/13,15185999.16
2019/10/14,14628224.19
2019/10/15,16240085.96
2019/10/16,14633533.22
2019/10/17,15858419.08
2019/10/18,16329289.22
2019/10/19,14484979.9
2019/10/20,14984777.03
2019/10/21,16722180.44
2019/10/22,17496598.35
2019/10/23,17079475.39
2019/10/24,12594197.43
2019/10/25,13909079.27
2019/10/26,16769057.92
2019/10/27,13879519.95
2019/10/28,16254462.72
2019/10/29,15907595.39
2019/10/30,15935289.73
2019/10/31,15460313.8
2019/11/1,15476389.78
2019/11/2,16052149.36
2019/11/3,16402669.81
2019/11/4,15941423.77
2019/11/5,17451427.1
2019/11/6,15769410.01
2019/11/7,15970955.44
2019/11/8,14762408.04
2019/11/9,16111246.62
2019/11/10,18896479.03
2019/11/11,16881322.71
2019/11/12,14989182.4
2019/11/13,15067619.93
2019/11/14,18779474.74
2019/11/15,17351278.97
2019/11/16,15864379.2
2019/11/17,16582477.3
2019/11/18,14963381.52
2019/11/19,15599060.26
2019/11/20,14807093.07
2019/11/21,13715760.95
2019/11/22,12538677.98
2019/11/23,16178363.03
2019/11/24,11832812.58
2019/11/25,11205569.82
2019/11/26,11167150.57
2019/11/27,12848987.49
2019/11/28,15917751.91
2019/11/29,14142605.49
2019/11/30,12281980.57
2019/12/1,12925726.37
2019/12/2,13446041.66
2019/12/3,14637722.11
2019/12/4,15591131.4
2019/12/5,13451289.42
2019/12/6,13603961.75
2019/12/7,15286888.49
2019/12/8,13969510.4
2019/12/9,13970881.97
2019/12/10,13646564.11
2019/12/11,12062018.83
2019/12/12,12076200.2
2019/12/13,14060284.47
2019/12/14,13824044.96
2019/12/15,11126047.87
2019/12/16,14132643.71
2019/12/17,12121833.95
2019/12/18,11695182.78
2019/12/19,14591652.02
2019/12/20,14124384.46
2019/12/21,15844785.32
2019/12/22,15337832.97
2019/12/23,13758030.76
2019/12/24,11525831.91
2019/12/25,11634910.29
2019/12/26,15752637.61
2019/12/27,13514433.19
2019/12/28,13698700.74
2019/12/29,14317659.02
2019/12/30,15446347.04
2019/12/31,13152944.22
2020/1/1,15907075.79
2020/1/2,12576131.22
2020/1/3,15705586.47
2020/1/4,15650931.39
2020/1/5,15404396.62
2020/1/6,13051403.08
2020/1/7,17646229.3
2020/1/8,14890476.72
2020/1/9,15730239.71
2020/1/10,15541380.57
2020/1/11,16893865.39
2020/1/12,15625350.67
2020/1/13,14633330.08
2020/1/14,15748081.37
2020/1/15,16792710.07
2020/1/16,17478168.64
2020/1/17,17783148.02
2020/1/18,14834325.08
2020/1/19,16961771.12
2020/1/20,16034934.29
2020/1/21,16708344.24
2020/1/22,17310387.59
2020/1/23,17169132.32
2020/1/24,16478219.05
2020/1/25,17146239.27
2020/1/26,15373871.85
2020/1/27,14226813.87
2020/1/28,16242549.01
2020/1/29,18887556.28
2020/1/30,18922276.39
2020/1/31,17040641.86
2020/2/1,17858163.32
2020/2/2,16944231.59
2020/2/3,17467129.75
2020/2/4,15415016.36
2020/2/5,17105098.6
2020/2/6,17105098.6
2020/2/7,17296713.61
2020/2/8,17511947.95
2020/2/9,19747647.26
2020/2/10,15671545.12
2020/2/11,19051941.21
2020/2/12,18763378.49
2020/2/13,18474198.44
2020/2/14,17892676.33
2020/2/15,18294966.94
2020/2/16,17801511.08
2020/2/17,19823862.2
2020/2/18,19007001.53
2020/2/19,18406770.34
2020/2/20,15368284.87
2020/2/21,18886942.69
2020/2/22,18051502.97
2020/2/23,17684305.82
2020/2/24,17377835.22
2020/2/25,17822599.43
2020/2/26,15629013.68
2020/2/27,16401715.33
2020/2/28,17412081.06
2020/2/29,16697791.75
2020/3/1,16697791.75
2020/3/2,16697791.75
2020/3/3,17037037.23
2020/3/4,18948989.97
2020/3/5,18562608.98
2020/3/6,18084440.76
2020/3/7,18200369.58
2020/3/8,17385259.26
2020/3/9,15003719.04
2020/3/10,13309094.53
2020/3/11,11906436.35
2020/3/12,13544827.88
2020/3/13,8634486.982
2020/3/14,8986521.226
2020/3/15,8103100.664
2020/3/16,7889846.941
2020/3/17,8477516.575
2020/3/18,6941254.719
2020/3/19,7981376.242
2020/3/20,9446456.658
2020/3/21,9873966.128
2020/3/22,9996191.207
2020/3/23,8912695.388
2020/3/24,11290318.11
2020/3/25,8111093.565
2020/3/26,13691118.21
2020/3/27,13411241.26
2020/3/28,10989618.93
2020/3/29,11822813.29
2020/3/30,11637863.38
2020/3/31,13165642.83
2020/4/1,12386579.19
2020/4/2,13018917.41
2020/4/3,11436511.55
2020/4/4,13560678
2020/4/5,14957634.88
2020/4/6,11485342.68
2020/4/7,15735459.96
2020/4/8,13302461.42
2020/4/9,14241012.63
2020/4/10,14368680.59
2020/4/11,13917060.69
2020/4/12,13349664.71
2020/4/13,14683700.73
2020/4/14,14587959.14
2020/4/15,14558871.74
2020/4/16,13495677.83
2020/4/17,11584618.69
2020/4/18,14261973.78
2020/4/19,13731416.21
2020/4/20,14513595.73
2020/4/21,13280755.5
2020/4/22,11597010.06
2020/4/23,13203833.92
2020/4/24,14000287.8
2020/4/25,13029925.92
2020/4/26,13360910.33
2020/4/27,13997087.9
2020/4/28,15084394.04
2020/4/29,15737371.44
2020/4/30,16397343.77
2020/5/1,17578400.01
2020/5/2,17019209.54
2020/5/3,19630255.34
2020/5/4,17898623.63
2020/5/5,18282730.76
2020/5/6,20611754.96
2020/5/7,18246780.7
2020/5/8,18271845.62
2020/5/9,17375844
2020/5/10,19252835.58
2020/5/11,17168436.34
2020/5/12,8950520.334
2020/5/13,7822621.054
2020/5/14,8245134.851
2020/5/15,8969982.477
2020/5/16,8429266.327
2020/5/17,7112392.242
2020/5/18,9800851.106
2020/5/19,8879553.758
2020/5/20,8810740.963
2020/5/21,9450405.201
2020/5/22,7770388.924
2020/5/23,7843058.63
2020/5/24,7286826.339
2020/5/25,7689659.793
2020/5/26,7687822.768
2020/5/27,9241012.007
2020/5/28,8457127.388
2020/5/29,8526743.19
2020/5/30,9913195.966
2020/5/31,9542417.459
2020/6/1,8910754.391
2020/6/2,8941264.807
2020/6/3,9081230.369
2020/6/4,9764314.2
2020/6/5,11573082.69
2020/6/6,12477168.4
2020/6/7,9821022.765
2020/6/8,10379765.62
2020/6/9,10182263.04
2020/6/10,10401186.39
2020/6/11,11473619.15
2020/6/12,9866334.581
2020/6/13,9622452.784
2020/6/14,10380781.54
2020/6/15,8280410.6
2020/6/16,9617963.21
2020/6/17,8709273.108
2020/6/18,7714420.955
2020/6/19,8736099.478
2020/6/20,8238014.002
2020/6/21,9006615.206
2020/6/22,8923565.201
2020/6/23,9964641.895
2020/6/24,8594577.459
2020/6/25,8504016.548
2020/6/26,9950436.658
2020/6/27,8059992.059
2020/6/28,8666896.613
2020/6/29,8562734.803
2020/6/30,8801310.462
2020/7/1,10124055.94
2020/7/2,9907317.704
2020/7/3,9873738.207
2020/7/4,9203934.106
2020/7/5,9453537.181
2020/7/6,9573702.526
2020/7/7,9827305.846
2020/7/8,9269106.007
2020/7/9,10324012.45
2020/7/10,9821730.664
2020/7/11,9308390.998
2020/7/12,9012154.571
2020/7/13,8910800.363
2020/7/14,9003009.805
2020/7/15,8552242.709
2020/7/16,8476261.345
2020/7/17,7439212.406
2020/7/18,8257260.544
2020/7/19,8030628.817
2020/7/20,8809861.149
2020/7/21,8215338.734
2020/7/22,9764974.368
2020/7/23,9402091.579
2020/7/24,10810915.04
2020/7/25,9515131.312
2020/7/26,10587041.6
2020/7/27,11099308.3
2020/7/28,12037341.11
2020/7/29,12189404.75
2020/7/30,11301864.7
2020/7/31,12639960.42
2020/8/1,11439834.23
2020/8/2,11205874.85
2020/8/3,12873862.58
2020/8/4,11438679.08
2020/8/5,10806917.39
2020/8/6,13771270.44
2020/8/7,12898632.94
2020/8/8,11292366.65
2020/8/9,12105371.36
2020/8/10,11774383.19
2020/8/11,12966824.45
2020/8/12,12684820.61
2020/8/13,11879252.3
2020/8/14,13709961.99
2020/8/15,12537672.54
2020/8/16,12130221.32
2020/8/17,10390360.22
2020/8/18,12747409.95
2020/8/19,11920459.63
2020/8/20,12309250.39
2020/8/21,12988330.81
2020/8/22,11060458.29
2020/8/23,12250514.72
2020/8/24,11845489.15
2020/8/25,10414543.57
2020/8/26,11345447.78
2020/8/27,10690122.01
2020/8/28,13003916.08
2020/8/29,11257775.01
2020/8/30,9959939.365
2020/8/31,12191565.47
2020/9/1,12943722.05
2020/9/2,12071209.2
2020/9/3,10387319.33
2020/9/4,10521917.64
2020/9/5,10426131.58
2020/9/6,10418304.67
2020/9/7,12203310.68
2020/9/8,10676168.87
2020/9/9,10385265.13
2020/9/10,11342158.76
2020/9/11,9984827.137
2020/9/12,11755971.41
2020/9/13,11038733.64
2020/9/14,12485219.77
2020/9/15,11329376.27
2020/9/16,11397006.21
2020/9/17,12881875.6
2020/9/18,12027086.74
2020/9/19,10777756.11
2020/9/20,10041684.8
2020/9/21,10351909.52
2020/9/22,9208013.415
2020/9/23,10252434.96
2020/9/24,9928235.839
2020/9/25,12502201.35
2020/9/26,10759364.73
2020/9/27,10713359.14
2020/9/28,9531618.971
2020/9/29,10337349.26
2020/9/30,11484361.34
2020/10/1,9416443.243
2020/10/2,10232863.85
2020/10/3,10855303.17
2020/10/4,11055916.22
2020/10/5,10710768.43
2020/10/6,10054284.61
2020/10/7,11193916.29
2020/10/8,12084850.91
2020/10/9,10965183.36
2020/10/10,11127194.86
2020/10/11,10659930.88
2020/10/12,11515021.1
2020/10/13,12872175.63
2020/10/14,11605343.5
2020/10/15,11814116.19
2020/10/16,11742282.09
2020/10/17,11674223.52
2020/10/18,8982105.737
2020/10/19,9776921.355
2020/10/20,11710523.41
2020/10/21,11562043.14
2020/10/22,13585268.79
2020/10/23,12640081.1
2020/10/24,13768787.57
2020/10/25,10397996.38
2020/10/26,10435984.48
2020/10/27,10871089.34
2020/10/28,11446509.26
2020/10/29,12458484.39
2020/10/30,12828892.04
2020/10/31,13341986.85
2020/11/1,13377441.18
2020/11/2,10902576.26
2020/11/3,15826226.37
2020/11/4,16641138.13
2020/11/5,20893224.44
2020/11/6,18889243.16
2020/11/7,16132958.56
2020/11/8,15148276.02
2020/11/9,20216887.39
2020/11/10,16459647.09
2020/11/11,16020485.03
2020/11/12,17804675.56
2020/11/13,16032046.44
2020/11/14,15597257.88
2020/11/15,15662707.44
2020/11/16,17711414.83
2020/11/17,18324640
2020/11/18,21194109.32
2020/11/19,16988027.06
2020/11/20,20641618.89
2020/11/21,20655875.92
2020/11/22,20906345.74
2020/11/23,18011288.39
2020/11/24,17683648.93
2020/11/25,20363512.96
2020/11/26,18340061.79
2020/11/27,17988301.56
